"Order ID","Year","Order Date","Ship Date","shipment days","Ship Mode","Customer ID","Customer Name","Segment","Country","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit"
"CA-2013-152156","2013","11/9/2013","11/12/2013","3","Second Class","CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky","42420","South","FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase","262","2","0","42"
"CA-2013-152156","2013","11/9/2013","11/12/2013","3","Second Class","CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky","42420","South","FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","732","3","0","220"
"CA-2013-138688","2013","6/13/2013","6/17/2013","4","Second Class","DV-13045","Darrin Van Huff","Corporate","United States","Los Angeles","California","90036","West","OFF-LA-10000240","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal","15","2","0","7"
"US-2012-108966","2012","10/11/2012","10/18/2012","7","Standard Class","SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","33311","South","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table","958","5","0.45","-383"
"US-2012-108966","2012","10/11/2012","10/18/2012","7","Standard Class","SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","33311","South","OFF-ST-10000760","Office Supplies","Storage","Eldon Fold 'N Roll Cart System","22","2","0.2","3"
"CA-2011-115812","2011","6/9/2011","6/14/2011","5","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","FUR-FU-10001487","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","49","7","0","14"
"CA-2011-115812","2011","6/9/2011","6/14/2011","5","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","OFF-AR-10002833","Office Supplies","Art","Newell 322","7","4","0","2"
"CA-2011-115812","2011","6/9/2011","6/14/2011","5","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","TEC-PH-10002275","Technology","Phones","Mitel 5320 IP Phone VoIP phone","907","6","0.2","91"
"CA-2011-115812","2011","6/9/2011","6/14/2011","5","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill","19","3","0.2","6"
"CA-2011-115812","2011","6/9/2011","6/14/2011","5","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","OFF-AP-10002892","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge","115","5","0","34"
